"genotipo","blupNota"
"NS90PRO2",3.55846507037394
"SZF6101VIP3",3.55846507037394
"SZF6101WT.0",3.55846507037394
"NK508",3.72339012146212
"AS1820PRO3",3.88831517255031
"DKB255PRO3",3.88831517255031
"MG593PWU",3.88831517255031
"STATUSVIP3",3.88831517255031
"SXD2621ZL.0",3.88831517255031
"SYC7131ZL.0",3.88831517255031
"SZD5031ZL.0",3.88831517255031
"SZE6111TG.0",3.88831517255031
"SZE6111VIP3",3.88831517255031
"DKB335PRO3",4.05324022363849
"MG652PWU",4.05324022363849
"AS1868PRO3",4.21816527472667
"NK506VIP3",4.21816527472667
"SXC2251ZL.0",4.21816527472667
"B2401PWU",4.38309032581485
"DKB360PRO3",4.38309032581485
"NS88VIP3",4.38309032581485
"SXC2251TG.0",4.38309032581485
"K9606VIP3",4.54801537690304
"MG580PWU",4.54801537690304
"NK520VIP3",4.54801537690304
"NS91VIP3",4.54801537690304
"AS1633PRO3",4.71294042799122
"NS75VIP3",4.71294042799122
"NS91VIP2",4.71294042799122
"P3707VYH",4.71294042799122
"P3889RR",4.71294042799122
"SXC2320VIP3",4.71294042799122
"SZC4141ZL.0",4.71294042799122
"SZD5211ZL.0",4.71294042799122
"SYC7441ZL.0",4.8778654790794
"B2620PWU",5.04279053016759
"NS95VIP2",5.04279053016759
"P3858PWU",5.04279053016759
"P3898",5.04279053016759
"NK511VIP3",5.20771558125577
"NK555VIP3",5.20771558125577
"NS80VIP3",5.20771558125577
"P3845VYHR",5.20771558125577
"AG8700PRO3",5.53756568343213
